Field1,DEM,ppt_inches,tmax_c,tmean_c,tmin_c,soil
33,588.787,685.36,11.9392,6.28375,0.62833,"Vienna silty clay loam, 3 to 6 percent slopes"
34,567.021,681.56,11.9592,6.32042,0.68167,"Hokans-Svea complex, 1 to 4 percent slopes"
35,535.16,NA,NA,NA,NA,Water
36,551.691,NA,NA,NA,NA,NA
37,540.242,NA,NA,NA,NA,NA
38,517.49,NA,NA,NA,NA,NA
39,490.774,NA,NA,NA,NA,NA
40,300.513,606.29,12.3275,6.395,0.4625,Fordville loam
41,341.224,606.06,12.2983,6.36792,0.4375,Gonvick loam
42,333.819,605.27,12.3225,6.39583,0.46917,Parnell silty clay loam
43,354.388,609.79,12.27,6.33167,0.39333,"Formdale clay loam, 1 to 6 percent slopes"
44,299.18,612.85,12.23,6.28583,0.34167,"Bearden silt loam, 0 to 2 percent slopes"
45,427.227,NA,NA,NA,NA,"Graceville silty clay loam, 0 to 2 percent slopes"
46,449.929,723.63,13.2433,7.29542,1.3475,"Primghar silty clay loam, 1 to 3 percent slopes"
47,454.33,730.56,13.2458,7.27583,1.30583,"Sac silty clay loam, 2 to 5 percent slopes"
48,451.914,731.01,13.1842,7.2475,1.31083,"Fairhaven silt loam, 2 to 6 percent slopes"
49,478.891,728.22,12.965,7.09917,1.23333,"Splitrock silty clay loam, 2 to 5 percent slopes"
50,483.878,706.65,12.7808,6.995,1.20917,"Sandberg-Buse-Everts complex, 12 to 40 percent slopes"
51,516.248,701.22,12.6517,6.90958,1.1675,"Vienna-Brookings complex, 1 to 4 percent slopes"
52,538.741,696.65,12.5767,6.74458,0.9125,"Brookings silty clay loam, 1 to 3 percent slopes"
53,533.647,676.31,12.48,6.62042,0.76083,"Brookings silty clay loam, 1 to 3 percent slopes"
54,546.304,686.59,12.2483,6.48667,0.725,"Brandt silty clay loam, 0 to 2 percent slopes"
55,580.555,686.41,12.1375,6.42208,0.70667,"Kranzburg silty clay loam, 3 to 6 percent slopes"
56,567.675,690.12,11.9742,6.39667,0.81917,"Barnes-Buse complex, 6 to 12 percent slopes, moderately eroded"
57,545.845,692.53,12.0508,6.44625,0.84167,"Barnes-Buse complex, 6 to 12 percent slopes, moderately eroded"
58,526.889,688.27,12.0467,6.43625,0.82583,"Bigstone and Parnell soils, ponded, 0 to 1 percent slopes"
59,534.885,682.99,12.0875,6.43375,0.78,"Buse, eroded-Wilno complex, 12 to 18 percent slopes"
60,516.197,681.32,12.1767,6.48833,0.8,"Barnes-Buse-Svea complex, 1 to 6 percent slopes"
61,506.013,671.31,12.3942,6.71458,1.035,"Barnes-Buse-Svea complex, 1 to 6 percent slopes"
62,457.307,667.64,12.6425,6.9075,1.1725,"Lakepark-Roliss-Parnell, depressional, complex, 0 to 3 percent slopes"
63,408.622,661.53,12.7625,6.92,1.0775,"Forman-Aastad complex, 3 to 6 percent slopes"
64,366.016,646.34,12.8333,6.92292,1.0125,Water
65,357.895,NA,NA,NA,NA,"Mehurin clay loam, 0 to 2 percent slopes"
66,347.752,NA,NA,NA,NA,NA
67,342.917,NA,NA,NA,NA,NA
68,339.667,NA,NA,NA,NA,NA
69,329.44,NA,NA,NA,NA,NA
70,341.753,610.75,12.2083,6.34875,0.48917,Hamerly-Aazdahl-Lindaas complex
71,347.343,610.69,12.2308,6.31125,0.39167,Hamerly-Parnell complex
72,337.113,611.13,12.2292,6.31792,0.40667,"Formdale-Buse clay loams, 4 to 6 percent slopes"
73,342.906,610.95,12.2192,6.30375,0.38833,Aazdahl clay loam
74,333.647,615.52,12.1767,6.32083,0.465,Aazdahl clay loam
75,301.363,NA,NA,NA,NA,NA
76,442.326,725.53,13.3042,7.33417,1.36417,"McCreath silty clay loam, 1 to 3 percent slopes"
77,442.436,724.29,13.2892,7.31125,1.33333,"Comfrey clay loam, 0 to 2 percent slopes, occasionally flooded"
78,462.755,726.16,13.1333,7.23125,1.32917,"Rushmore silty clay loam, 0 to 2 percent slopes"
79,470.268,730.48,12.975,7.10042,1.22583,"Graceville silty clay loam, 0 to 2 percent slopes"
80,480.744,729.93,12.8658,7.03625,1.20667,"Rushmore silty clay loam, 0 to 2 percent slopes"
81,476.172,719.98,12.65,6.93375,1.2175,"Lamoure-La Prairie complex, channeled, 0 to 2 percent slopes, frequently flooded"
82,508.74,712.91,12.6158,6.91333,1.21083,"Renshaw-Barnes complex, 6 to 12 percent slopes, moderately eroded"
83,531.45,711.93,12.61,6.87375,1.1375,"Hidewood-Badger complex, 0 to 2 percent slopes"
84,550.223,687.11,12.4917,6.66875,0.84583,"Estelline silty clay loam, 2 to 6 percent slopes"
85,592.339,690.55,12.0808,6.43792,0.795,"Barnes-Buse complex, 3 to 6 percent slopes"
86,532.078,692.07,12.095,6.54542,0.99583,"Lamoure silty clay loam, 0 to 2 percent slopes, occasionally flooded"
87,536.917,692.52,12.0708,6.52292,0.975,"Singsaas-Oak Lake complex, 1 to 6 percent slopes"
88,521.485,699.68,12.1475,6.575,1.0025,"Barnes-Buse complex, 6 to 12 percent slopes, moderately eroded"
89,518.875,690.85,12.2783,6.66708,1.05583,"Hokans-Svea complex, 1 to 4 percent slopes"
90,493.938,682.85,12.2417,6.62292,1.00417,"Lakepark-Roliss-Parnell, depressional, complex, 0 to 3 percent slopes"
91,477.694,677.88,12.4417,6.7775,1.11333,"Brensall-Tress complex, 1 to 4 percent slopes"
92,422.927,674.93,12.8,7.04292,1.28583,"Brensall-Tress complex, 1 to 4 percent slopes"
93,371.834,673.04,12.9883,7.17917,1.37,"Parnell silty clay loam, firm till, 0 to 2 percent slopes"
94,356.803,661.88,13.0267,7.15792,1.28917,Burr-Calco silty clay loams
95,346.628,646.67,12.8583,6.97458,1.09083,"Egeland sandy loam, 0 to 2 percent slopes"
96,334.826,631.42,12.795,6.88583,0.97667,"Du Page loam, occasionally flooded"
97,338.064,622.15,12.7283,6.8325,0.93667,"Ves-Swanlake complex, 3 to 6 percent slopes"
98,329.02,616.42,12.6342,6.74583,0.8575,Vallers clay loam
99,332.366,617.48,12.4883,6.62958,0.77083,Lakepark loam
100,322.53,611.59,12.4267,6.56375,0.70083,"Esmond-Heimdal complex, 2 to 6 percent slopes"
101,332.687,605.82,12.2525,6.44417,0.63583,Fram-Vallers-Parnell complex
102,344.835,609.3,12.2,6.38542,0.57083,"Bigstone silty clay loam, ponded"
103,356.435,612.88,12.0942,6.27542,0.45667,"Esmond-Heimdal loams, 2 to 6 percent slopes"
104,349.136,613.27,12.1175,6.30792,0.49833,Hamerly-Lindaas complex
105,337.527,614.65,12.1417,6.28708,0.4325,Hamerly-Parnell complex
106,327.588,618.44,12.1033,6.25292,0.4025,Doran clay loam
107,324.078,619.05,12.17,6.3,0.43,"Udorthents, reclaimed pits, 0 to 6 percent slopes"
108,303.054,617.97,12.1867,6.19917,0.21167,"La Prairie silt loam, 0 to 2 percent slopes, occasionally flooded"
109,313.392,614.13,12.215,6.2625,0.31,"Doran clay loam, 0 to 1 percent slopes"
110,296.469,NA,NA,NA,NA,NA
111,295.341,NA,NA,NA,NA,NA
112,300.018,NA,NA,NA,NA,NA
113,296.394,NA,NA,NA,NA,NA
114,292.72,NA,NA,NA,NA,NA
115,288.622,NA,NA,NA,NA,NA
116,287.34,NA,NA,NA,NA,"Mustinka silty clay loam, 0 to 1 percent slopes"
117,282.91,592.77,11.5367,5.77833,0.02,"Fargo silty clay, 0 to 2 percent slopes"
118,281.071,595.01,11.4775,5.73458,-0.00833,"Fargo silty clay, 0 to 1 percent slopes"
119,278.078,601.1,11.3942,5.69042,-0.01333,"Wahpeton silty clay, 0 to 2 percent slopes, occasionally flooded"
120,272.369,603.03,11.3933,5.69333,-0.00667,"Wahpeton silty clay, 6 to 9 percent slopes, occasionally flooded"
121,275.392,NA,NA,NA,NA,NA
122,273.144,NA,NA,NA,NA,NA
123,270.094,NA,NA,NA,NA,NA
124,268.539,NA,NA,NA,NA,NA
125,267.247,NA,NA,NA,NA,NA
126,255.815,NA,NA,NA,NA,NA
127,253.498,NA,NA,NA,NA,NA
128,252.042,NA,NA,NA,NA,NA
129,246.286,545.11,10.2875,4.64833,-0.99083,"Bygland silty clay loam, 2 to 6 percent slopes"
130,246.464,539.69,10.2933,4.63167,-1.03,NA
131,244.883,NA,NA,NA,NA,NA
132,244.176,NA,NA,NA,NA,NA
133,244.845,NA,NA,NA,NA,NA
134,454.699,NA,NA,NA,NA,NA
135,482.26,730.45,12.835,7.14333,1.45167,"Sac silty clay loam, 2 to 5 percent slopes"
136,482.456,729.46,12.785,7.11208,1.43917,"Allendorf silty clay loam, 2 to 6 percent slopes"
137,501.583,727.19,12.82,7.07667,1.33333,"Everly silty clay loam, 2 to 6 percent slopes"
138,504.541,727.94,12.5608,6.92708,1.29333,"Everly silty clay loam, 2 to 6 percent slopes"
139,518.504,727.69,12.4317,6.83917,1.24667,"Everly silty clay loam, 2 to 6 percent slopes"
140,539.297,727.53,12.3883,6.81417,1.24,"Everly silty clay loam, 2 to 6 percent slopes"
141,540.817,726.63,12.5117,6.85667,1.20167,"Vienna-Brookings complex, 1 to 4 percent slopes"
142,544.409,720.4,12.6183,6.90667,1.195,"Hokans-Svea complex, 1 to 4 percent slopes"
143,532.265,706.83,12.5533,6.8875,1.22167,"Svea loam, 1 to 3 percent slopes"
144,514.731,691.53,12.3067,6.6875,1.06833,"Lakepark-Roliss-Parnell, depressional, complex, 0 to 3 percent slopes"
145,512.183,690.45,12.1883,6.64792,1.1075,"Bigstone and Parnell soils, ponded, 0 to 1 percent slopes"
146,520.139,692.98,12.2167,6.69083,1.165,"Barnes-Buse-Svea complex, 1 to 6 percent slopes"
147,509.355,698.88,12.215,6.66333,1.11167,"Highpoint Lake silty clay, 0 to 2 percent slopes"
148,487.545,681.91,12.36,6.78167,1.20333,"Barnes-Buse complex, 6 to 12 percent slopes, moderately eroded"
149,451.581,672.04,12.5817,6.95583,1.33,"Brensall-Tress complex, 1 to 4 percent slopes"
150,393.928,678.64,12.7233,7.03833,1.35333,"Forman-Aastad complex, 3 to 6 percent slopes"
151,356.862,679.79,13.0517,7.225,1.39833,"Lamoure-La Prairie complex, channeled, 0 to 2 percent slopes, frequently flooded"
152,353.509,665.69,13.0125,7.15333,1.29417,Canisteo clay loam
153,337.164,656.75,13.0325,7.14917,1.26583,"Calco silty clay loam, occasionally flooded"
154,339.05,644.52,12.8875,6.99667,1.10583,"Ves-Swanlake complex, 3 to 6 percent slopes"
155,327.821,632.43,12.8083,6.86333,0.91833,"Calco silty clay loam, occasionally flooded"
156,329.401,628.02,12.7575,6.83125,0.905,"Ves loam, 1 to 4 percent slopes"
157,341.751,625.23,12.6808,6.7775,0.87417,"Ves-Swanlake complex, 3 to 6 percent slopes"
158,315.86,625.08,12.4083,6.51667,0.625,Colvin silty clay loam
159,290.764,621.93,12.3692,6.50583,0.6425,Water
160,327.146,614.44,12.1767,6.39708,0.6175,"Esmond-Heimdal loams, 2 to 6 percent slopes"
161,333.049,616.76,12.0875,6.36083,0.63417,"Esmond-Heimdal loams, 2 to 6 percent slopes"
162,338.981,613.16,11.9825,6.24167,0.50083,Dovray silty clay
163,349.291,611.96,11.9475,6.21042,0.47333,Fulda silty clay
164,336.121,616.42,11.9925,6.17333,0.35417,Hamerly-Lindaas clay loams
165,322.052,620.54,12.0758,6.22375,0.37167,"Glyndon loam, 0 to 2 percent slopes"
166,316.25,622.9,12.2142,6.29917,0.38417,"Doran-Mustinka silty clay loams, 0 to 2 percent slopes"
167,310.315,621.65,12.215,6.24833,0.28167,"Doran-Mustinka silty clay loams, 0 to 2 percent slopes"
168,304.256,618.19,12.2375,6.27083,0.30417,"Bearden silt loam, 0 to 1 percent slopes"
169,302.806,620.06,12.0475,6.12208,0.19667,"Quam silty clay loam, ponded"
170,302.031,621.09,11.9608,6.05333,0.14583,"Mustinka silty clay loam, 0 to 1 percent slopes"
171,296.631,623.88,11.8258,5.93458,0.04333,"Antler-Mustinka silty clay loams, 0 to 2 percent slopes"
172,296.204,602.08,11.8217,5.9775,0.13333,"Antler-Mustinka silty clay loams, 0 to 2 percent slopes"
173,294.702,594.37,11.8725,6.05875,0.245,"Mustinka silty clay loam, 0 to 1 percent slopes"
174,294.72,598.07,11.8408,6.04833,0.25583,"Antler-Mustinka silty clay loams, 0 to 2 percent slopes"
175,294.073,601.65,11.8425,6.055,0.2675,"Antler-Mustinka silty clay loams, 0 to 2 percent slopes"
176,292.347,595,11.6925,5.94917,0.20583,"Doran clay loam, 0 to 1 percent slopes"
177,291.889,589.65,11.645,5.92458,0.20417,"Wyndmere fine sandy loam, 0 to 1 percent slopes"
178,286.137,592.48,11.4942,5.82292,0.15167,"Doran clay loam, 0 to 1 percent slopes"
179,282.103,609.55,11.4008,5.72208,0.04333,"Fargo silty clay, 0 to 1 percent slopes"
180,281.608,609.47,11.3675,5.68792,0.00833,"Viking clay loam, 0 to 2 percent slopes"
181,279.113,611.36,11.3242,5.66917,0.01417,"Fargo silty clay, silty substratum, 0 to 1 percent slopes"
182,276.974,610.21,11.3792,5.67458,-0.03,"Bearden-Fargo complex, 0 to 2 percent slopes"
183,274.626,607.27,11.3717,5.625,-0.12167,"Fargo silty clay, silty substratum, 0 to 1 percent slopes"
184,272.128,604.18,11.3992,5.60083,-0.1975,"Colvin silty clay loam, 0 to 1 percent slopes"
185,270.083,594.85,11.4258,5.58417,-0.2575,"Fargo silty clay, 0 to 1 percent slopes"
186,269.325,589.82,11.3642,5.55083,-0.2625,"Fargo silty clay loam, 0 to 1 percent slopes"
187,266.408,586.26,11.34,5.53583,-0.26833,"Fargo silty clay, 0 to 1 percent slopes"
188,265.448,573.95,11.2267,5.42667,-0.37333,"Fargo silty clay loam, 0 to 1 percent slopes"
189,262.973,572.32,11.0767,5.35458,-0.3675,"Fargo silty clay, 0 to 1 percent slopes"
190,262.238,575.95,10.9625,5.23417,-0.49417,"Hegne-Fargo silty clays, 0 to 2 percent slopes"
191,257.348,NA,NA,NA,NA,NA
192,263.82,NA,NA,NA,NA,NA
193,255.833,574.81,10.4333,4.79,-0.85333,NA
194,261.09,NA,NA,NA,NA,"Colvin silty clay loam, 0 to 1 percent slopes"
195,257.599,565.38,10.3742,4.73542,-0.90333,"Overly silty clay loam, 0 to 2 percent slopes"
196,256.004,556.05,10.4375,4.77958,-0.87833,"Bearden-Colvin silty clay loams, 0 to 2 percent slopes"
197,254.032,552.86,10.4433,4.76083,-0.92167,"Bearden silt loam, 0 to 1 percent slopes"
198,252.024,549.6,10.42,4.75375,-0.9125,"Bearden-Colvin silty clay loams, 0 to 2 percent slopes"
199,249.747,550.91,10.3017,4.63958,-1.0225,"Bearden-Colvin silty clay loams, 0 to 2 percent slopes"
200,249.113,550.04,10.2842,4.61833,-1.0475,"Bearden-Colvin silty clay loams, 0 to 2 percent slopes"
201,246.675,544.32,10.3008,4.61292,-1.075,"Bearden-Colvin silty clay loams, 0 to 2 percent slopes"
202,243.534,539.23,10.2033,4.46833,-1.26667,"Colvin-Fargo complex, 0 to 2 percent slopes"
203,242.297,532.27,10.1817,4.47792,-1.22583,"Colvin-Fargo complex, 0 to 2 percent slopes"
204,241.87,531.91,10.1058,4.38708,-1.33167,"Colvin-Fargo complex, 0 to 2 percent slopes"
205,242.301,523.58,9.9858,4.23375,-1.51833,"Wahpeton silty clay, 0 to 2 percent slopes, occasionally flooded"
206,243.461,521.81,9.8292,4.095,-1.63917,"Bearden-Colvin silty clay loams, 0 to 2 percent slopes"
207,241.809,NA,NA,NA,NA,NA
208,241.837,NA,NA,NA,NA,NA
209,241.555,537.05,9.5058,3.83,-1.84583,NA
210,242.144,NA,NA,NA,NA,NA
211,241.108,540.39,9.3175,3.60875,-2.1,NA
212,242.013,NA,NA,NA,NA,NA
213,464.175,NA,NA,NA,NA,NA
214,483.588,733.8,12.8825,7.15792,1.43333,"Sac silty clay loam, 2 to 5 percent slopes"
215,493.97,732.69,12.6167,7.10583,1.595,"Rushmore silty clay loam, 0 to 2 percent slopes"
216,501.595,730.28,12.7467,7.10292,1.45917,"Everly silty clay loam, 2 to 6 percent slopes"
217,529.906,730.2,12.415,6.88208,1.34917,"Chetomba silty clay loam, 0 to 2 percent slopes"
218,526.77,736.94,12.3575,6.81208,1.26667,"Clarion-Crooksford complex, 1 to 5 percent slopes"
219,516.184,735.1,12.4808,6.8875,1.29417,Nicollet loam
220,498.769,728.34,12.5042,6.89708,1.29,"Vallers clay loam, 0 to 2 percent slopes"
221,507.546,718.42,12.5958,6.96708,1.33833,"Hokans-Svea complex, 1 to 4 percent slopes"
222,521.505,704.7,12.5417,6.89875,1.25583,"Fulda silty clay, 0 to 2 percent slopes"
223,507.01,697.16,12.4208,6.79667,1.1725,"Bigstone and Parnell soils, ponded, 0 to 1 percent slopes"
224,502.198,685.82,12.2808,6.74083,1.20083,"Hokans-Svea complex, 1 to 4 percent slopes"
225,487.923,690.8,12.3242,6.78667,1.24917,"Hokans-Svea complex, 1 to 4 percent slopes"
226,466.522,687.89,12.4883,6.91875,1.34917,"Buse, eroded-Wilno complex, 12 to 18 percent slopes"
227,426.663,678.27,12.5158,6.93208,1.34833,"Forman-Aastad complex, 3 to 6 percent slopes"
228,375.098,669.93,12.7633,7.10917,1.455,"Buse, firm till-Wilno complex, 18 to 25 percent slopes"
229,356.856,678.69,12.935,7.18083,1.42667,"Ves loam, 1 to 4 percent slopes"
230,349.304,679.65,13.02,7.21833,1.41667,"Ves-Storden loams, 3 to 6 percent slopes, eroded"
231,341.431,660.03,12.99,7.12333,1.25667,"Ves-Storden loams, 3 to 6 percent slopes, eroded"
232,329.374,647.17,12.915,7.03458,1.15417,"Du Page loam, occasionally flooded"
233,329.953,638.98,12.8575,6.97417,1.09083,Seaforth loam
234,330.37,627.23,12.8042,6.8525,0.90083,"Ves-Swanlake complex, 3 to 6 percent slopes"
235,320.387,629.53,12.7608,6.82625,0.89167,Svea loam
236,314.063,631.55,12.5025,6.56375,0.625,Bigstone silty clay loam
237,314.151,630.18,12.3367,6.43417,0.53167,Hantho silt loam
238,311.395,631.06,12.2583,6.45833,0.65833,"Egeland fine sandy loam, 0 to 2 percent slopes"
239,314.322,634.55,12.0242,6.33083,0.6375,Flom silty clay loam
240,356.968,629.02,11.81,6.2525,0.695,Fram-Vallers-Parnell complex
241,349.828,612.96,11.8108,6.20375,0.59667,"Hattie silty clay, 1 to 4 percent slopes"
242,351.083,607.87,11.8525,6.1175,0.3825,Hamerly-Parnell complex
243,336.842,614.67,11.8975,6.11208,0.32667,McIntosh-Lindaas complex
244,322.242,623.45,12.01,6.15833,0.30667,"Fargo-Mustinka silty clay loams, 0 to 2 percent slopes"
245,317.399,623.98,12.1492,6.2625,0.37583,"Colvin silty clay loam, 0 to 1 percent slopes"
246,309.92,624.98,12.1517,6.21958,0.2875,"Doran-Mustinka silty clay loams, 0 to 2 percent slopes"
247,305.641,623.26,12.1742,6.22958,0.285,"Doran-Mustinka silty clay loams, 0 to 2 percent slopes"
248,303.726,623.94,11.9983,6.08292,0.1675,"Doran-Mustinka silty clay loams, 0 to 2 percent slopes"
249,302.322,630.23,11.82,5.93292,0.04583,"Doran clay loam, 0 to 1 percent slopes"
250,299.619,629.2,11.8225,5.93875,0.055,"Doran clay loam, 0 to 1 percent slopes"
251,298.997,614.41,11.7892,5.93208,0.075,"Antler clay loam, 0 to 1 percent slopes"
252,298.903,595.49,11.8275,6.02417,0.22083,"Doran clay loam, 0 to 1 percent slopes"
253,298.65,600.46,11.8183,6.03375,0.24917,"Antler clay loam, 0 to 1 percent slopes"
254,297.668,609.43,11.7642,5.98375,0.20333,"Antler clay loam, 0 to 1 percent slopes"
255,297.893,600.02,11.6383,5.91833,0.19833,"Wyndmere fine sandy loam, 0 to 1 percent slopes"
256,296.559,592.71,11.5142,5.86333,0.2125,"Gilby loam, 0 to 1 percent slopes"
257,290.362,593.13,11.4833,5.83667,0.19,"Wheatville silt loam, 0 to 1 percent slopes"
258,286.229,615,11.3358,5.74958,0.16333,"Wheatville silt loam, 0 to 1 percent slopes"
259,284.847,620.83,11.2825,5.67042,0.05833,"Elmville fine sandy loam, 0 to 2 percent slopes"
260,282.698,618.47,11.2508,5.61958,-0.01167,"Wyndmere fine sandy loam, 0 to 1 percent slopes"
261,280.202,614.71,11.2933,5.63583,-0.02167,"Bearden silt loam, 0 to 1 percent slopes"
262,277.073,609.07,11.345,5.61667,-0.11167,"Wheatville silt loam, 0 to 1 percent slopes"
263,274.277,606.09,11.3617,5.59208,-0.1775,"Colvin silty clay loam, 0 to 1 percent slopes"
264,271.76,596.25,11.4167,5.59292,-0.23083,"Colvin silty clay loam, 0 to 1 percent slopes"
265,270.185,593.9,11.3492,5.51042,-0.32833,"Bearden silty clay loam, 0 to 1 percent slopes"
266,268.856,591.1,11.2625,5.42875,-0.405,"Fargo silty clay loam, 0 to 1 percent slopes"
267,268.406,584.96,11.2292,5.40958,-0.41,"Hegne-Fargo silty clays, 0 to 2 percent slopes"
268,266.546,584.55,11.1142,5.34083,-0.4325,"Hegne-Fargo silty clays, 0 to 2 percent slopes"
269,266.878,586.5,10.9058,5.14542,-0.615,"Bearden-Fargo complex, 0 to 2 percent slopes"
270,265.098,590.49,10.7908,5.05333,-0.68417,"Nielsville-Perella silty clay loams, 0 to 1 percent slopes"
271,264.356,593.88,10.525,4.845,-0.835,"Bearden-Colvin silty clay loams, 0 to 2 percent slopes"
272,263.405,581.91,10.4167,4.7575,-0.90167,"Bearden-Colvin silty clay loams, 0 to 2 percent slopes"
273,261.799,573.05,10.3567,4.72458,-0.9075,"Colvin-Perella silty clay loams, 0 to 2 percent slopes"
274,259.196,567.97,10.3467,4.7075,-0.93167,"Bearden silt loam, 0 to 1 percent slopes"
275,256.904,562.23,10.3392,4.65167,-1.03583,"Bearden-Colvin silty clay loams, 0 to 2 percent slopes"
276,255.329,555.84,10.3633,4.645,-1.07333,"Bearden-Colvin silty clay loams, 0 to 2 percent slopes"
277,254.718,553.92,10.3517,4.61833,-1.115,"Bearden-Colvin silty clay loams, 0 to 2 percent slopes"
278,253.549,552.27,10.3158,4.55125,-1.21333,"Colvin-Perella silty clay loams, 0 to 2 percent slopes"
279,250.611,551.14,10.3208,4.58417,-1.1525,"Colvin-Perella silty clay loams, 0 to 2 percent slopes"
280,249.384,550.68,10.315,4.55625,-1.2025,"Colvin-Fargo complex, 0 to 2 percent slopes"
281,247.489,545.81,10.2,4.40708,-1.38583,"Hegne-Fargo silty clays, 0 to 2 percent slopes"
282,246.598,543.14,10.205,4.39958,-1.40583,"Lamoure silty clay loam, 0 to 1 percent slopes, occasionally flooded"
283,246.318,538.02,10.0942,4.29333,-1.5075,"Northcote-Eaglepoint clays, 0 to 2 percent slopes"
284,245.397,536.97,10.0125,4.22042,-1.57167,"Fargo silty clay, 0 to 1 percent slopes"
285,244.179,530.55,9.815,4.06542,-1.68417,"Northcote-Eaglepoint clays, 0 to 2 percent slopes"
286,243.835,535.09,9.6692,3.9125,-1.84417,"Hegne-Fargo silty clays, silty substratum, 0 to 2 percent slopes"
287,241.746,535.49,9.62,3.86417,-1.89167,"Hegne-Fargo silty clays, silty substratum, 0 to 2 percent slopes"
288,242.215,537.7,9.5675,3.84125,-1.885,"Northcote clay, 0 to 1 percent slopes"
289,242.569,544.32,9.4075,3.71417,-1.97917,"Hegne-Fargo silty clays, silty substratum, 0 to 2 percent slopes"
290,241.902,545.57,9.3275,3.62208,-2.08333,"Bearden-Colvin silty clay loams, 0 to 2 percent slopes"
291,241.559,561.45,9.2942,3.63167,-2.03083,NA
292,495.356,735.78,12.6358,7.03083,1.42583,NA
293,505.892,736.55,12.4442,6.98542,1.52667,"Crooksford silty clay loam, 1 to 3 percent slopes"
294,501.633,735.54,12.3417,6.98958,1.6375,"Delft, overwash-Delft complex, 1 to 4 percent slopes"
295,514.389,733.77,12.335,7.00208,1.66917,"Canisteo clay loam, 0 to 2 percent slopes"
296,509.341,730.64,12.395,6.925,1.455,"Ocheda silty clay loam, 1 to 3 percent slopes"
297,503.138,730.12,12.4,6.84792,1.29583,"Okabena silty clay loam, 1 to 3 percent slopes"
298,506.219,727.53,12.3908,6.85583,1.32083,"Egeland sandy loam, 0 to 2 percent slopes"
299,518.781,726.53,12.4708,6.8925,1.31417,"Svea loam, 1 to 3 percent slopes"
300,499.306,722,12.4933,6.92167,1.35,"Lakepark-Roliss-Parnell, depressional, complex, 0 to 3 percent slopes"
301,508.983,711.99,12.4792,6.92792,1.37667,"Svea loam, 1 to 3 percent slopes"
302,485.783,695.39,12.4608,6.87917,1.2975,"Barnes-Buse-Svea complex, 1 to 6 percent slopes"
303,476.86,690.44,12.4708,6.89708,1.32333,"Barnes-Buse complex, 6 to 12 percent slopes, moderately eroded"
304,447.641,691.56,12.4825,6.91875,1.355,"Bigstone silty clay loam, depressional, 0 to 1 percent slopes"
305,414.962,689.24,12.6167,7.02292,1.42917,"Forman-Aastad complex, 3 to 6 percent slopes"
306,370.541,679.7,12.7458,7.11083,1.47583,Brensall-Tress complex 1 to 4 percent slopes
